"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Euphilotes battoides allyni","El Segundo blue butterfly","Wherever found","8","Endangered","Insects"
"Lycaeides melissa samuelis","Karner blue butterfly","Wherever found","3","Endangered","Insects"
"Apodemia mormo langei","Lange's metalmark butterfly","Wherever found","8","Endangered","Insects"
"Lycaeides argyrognomon lotis","Lotis blue butterfly","Wherever found","8","Endangered","Insects"
"Icaricia icarioides missionensis","Mission blue butterfly","Wherever found","8","Endangered","Insects"
"Neonympha mitchellii mitchellii","Mitchell's satyr Butterfly","Wherever found","3","Endangered","Insects"
"Speyeria zerene myrtleae","Myrtle's silverspot butterfly","Wherever found","8","Endangered","Insects"
"Euphydryas editha quino (=E. e. wrighti)","Quino checkerspot butterfly","Wherever found","8","Endangered","Insects"
"Callophrys mossii bayensis","San Bruno elfin butterfly","Wherever found","8","Endangered","Insects"
"Euphilotes enoptes smithi","Smith's blue butterfly","Wherever found","8","Endangered","Insects"
"Heraclides aristodemus ponceanus","Schaus swallowtail butterfly","Wherever found","4","Endangered","Insects"
"Speyeria callippe callippe","Callippe silverspot butterfly","Wherever found","8","Endangered","Insects"
"Speyeria zerene hippolyta","Oregon silverspot butterfly","Wherever found","1","Threatened","Insects"
"Glaucopsyche lygdamus palosverdesensis","Palos Verdes blue butterfly","Wherever found","8","Endangered","Insects"
"Euproserpinus euterpe","Kern primrose sphinx moth","Wherever found","8","Threatened","Insects"
"Hesperia leonardus montana","Pawnee montane skipper","Wherever found","6","Threatened","Insects"
"Elaphrus viridis","Delta green ground beetle","Wherever found","8","Threatened","Insects"
"Desmocerus californicus dimorphus","Valley elderberry longhorn beetle","Wherever found","8","Threatened","Insects"
"Boloria acrocnema","Uncompahgre fritillary butterfly","Wherever found","6","Endangered","Insects"
"Euphydryas editha bayensis","Bay checkerspot butterfly","Wherever found","8","Threatened","Insects"
"Ambrysus amargosus","Ash Meadows naucorid","Wherever found","8","Threatened","Insects"
"Nicrophorus americanus","American burying beetle","Wherever found, except where listed as an experimental population","2","Threatened","Insects"
"Brychius hungerfordi","Hungerford's crawling water Beetle","Wherever found","3","Endangered","Insects"
"Habroscelimorpha dorsalis dorsalis","Northeastern beach tiger beetle","Wherever found","5","Threatened","Insects"
"Ellipsoptera puritana","Puritan tiger beetle","Wherever found","5","Threatened","Insects"
"Speyeria zerene behrensii","Behren's silverspot butterfly","Wherever found","8","Endangered","Insects"
"Somatochlora hineana","Hine's emerald dragonfly","Wherever found","3","Endangered","Insects"
"Manduca blackburni","Blackburn's sphinx moth","Wherever found","1","Endangered","Insects"
"Batrisodes texanus","Coffin Cave mold beetle","Wherever found","2","Endangered","Insects"
"Texamaurops reddelli","Kretschmarr Cave mold beetle","Wherever found","2","Endangered","Insects"
"Rhadine persephone","Tooth Cave ground beetle","Wherever found","2","Endangered","Insects"
"Icaricia icarioides fenderi","Fender's blue butterfly","Wherever found","1","Threatened","Insects"
"Pyrgus ruralis lagunae","Laguna Mountains skipper","Wherever found","8","Endangered","Insects"
"Rhaphiomidas terminatus abdominalis","Delhi Sands flower-loving fly","Wherever found","8","Endangered","Insects"
"Heterelmis comalensis","Comal Springs riffle beetle","Wherever found","2","Endangered","Insects"
"Stygoparnus comalensis","Comal Springs dryopid beetle","Wherever found","2","Endangered","Insects"
"Neonympha mitchellii francisci","Saint Francis' satyr butterfly","Wherever found","4","Endangered","Insects"
"Polyphylla barbata","Mount Hermon June beetle","Wherever found","8","Endangered","Insects"
"Cicindela ohlone","Ohlone tiger beetle","Wherever found","8","Endangered","Insects"
"Trimerotropis infantilis","Zayante band-winged grasshopper","Wherever found","8","Endangered","Insects"
"Rhadine infernalis","[no common name] Beetle","Wherever found","2","Endangered","Insects"
"Batrisodes venyivi","Helotes mold beetle","Wherever found","2","Endangered","Insects"
"Rhadine exilis","[no common name] Beetle","Wherever found","2","Endangered","Insects"
"Pseudocopaeodes eunus obscurus","Carson wandering skipper","Wherever found","8","Endangered","Insects"
"Drosophila aglaia","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Drosophila heteroneura","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Drosophila montgomeryi","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Drosophila mulli","Hawaiian picture-wing fly","Wherever found","1","Threatened","Insects"
"Drosophila musaphilia","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Drosophila neoclavisetae","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Drosophila obatai","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Drosophila substenoptera","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Drosophila tarphytrichia","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Drosophila hemipeza","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Drosophila ochrobasis","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Drosophila differens","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Euphydryas anicia cloudcrofti","Sacramento Mountains checkerspot Butterfly","Wherever found","2","Endangered","Insects"
"Speyeria nokomis nokomis","Silverspot","Wherever found","6","Threatened","Insects"
"Megalagrion nigrohamatum nigrolineatum","Blackline Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Lednia tumana","Meltwater lednian stonefly","Wherever found","6","Threatened","Insects"
"Megalagrion pacificum","Pacific Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Lycaena hermes","Hermes copper butterfly","Wherever found","8","Threatened","Insects"
"Megalagrion nesiotes","Flying earwig Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Hesperia dacotae","Dakota Skipper","Wherever found","3","Threatened","Insects"
"Drosophila digressa","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Hypolimnas octocula marianensis","Mariana eight-spot butterfly","Wherever found","1","Endangered","Insects"
"Megalagrion leptodemas","Crimson Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Hylaeus assimulans","Assimulans yellow-faced bee","Wherever found","1","Endangered","Insects"
"Cyclargus thomasi bethunebakeri","Miami Blue Butterfly","Wherever found","4","Endangered","Insects"
"Cicindela nevadica lincolniana","Salt Creek Tiger beetle","Wherever found","6","Endangered","Insects"
"Bombus franklini","Franklin's bumble bee","Wherever found","1","Endangered","Insects"
"Strymon acis bartrami","Bartram's hairstreak Butterfly","Wherever found","4","Endangered","Insects"
"Vagrans egistina","Mariana wandering butterfly","Wherever found","1","Endangered","Insects"
"Hylaeus longiceps","Hawaiian yellow-faced bee","Wherever found","1","Endangered","Insects"
"Hylaeus anthracinus","Anthricinan yellow-faced bee","Wherever found","1","Endangered","Insects"
"Euchloe ausonides insulanus","Island marble Butterfly","Wherever found","1","Endangered","Insects"
"Megalagrion oceanicum","Oceanic Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Hemileuca maia menyanthevora (=H. iroquois)","bog buck moth","Wherever found","5","Endangered","Insects"
"Hylaeus facilis","Easy yellow-faced bee","Wherever found","1","Endangered","Insects"
"Megalagrion xanthomelas","Orangeblack Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Drosophila sharpi","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Euphydryas editha taylori","Taylor's (=whulge) Checkerspot","Wherever found","1","Endangered","Insects"
"Hylaeus hilaris","Hilaris yellow-faced bee","Wherever found","1","Endangered","Insects"
"Anaea troglodyta floridalis","Florida leafwing Butterfly","Wherever found","4","Endangered","Insects"
"Dinacoma caseyi","Casey's June Beetle","Wherever found","8","Endangered","Insects"
"Icaricia (Plebejus) shasta charlestonensis","Mount Charleston blue butterfly","Wherever found","8","Endangered","Insects"
"Ischnura luta","Rota blue damselfly","Wherever found","1","Endangered","Insects"
"Atlantea tulita","Puerto Rican harlequin butterfly","Wherever found","4","Threatened","Insects"
"Hylaeus mana","Hawaiian yellow-faced bee","Wherever found","1","Endangered","Insects"
"Hylaeus kuakea","Hawaiian yellow-faced bee","Wherever found","1","Endangered","Insects"
"Zapada glacier","Western glacier stonefly","Wherever found","6","Threatened","Insects"
"Oarisma poweshiek","Poweshiek skipperling","Wherever found","3","Endangered","Insects"
"Nicrophorus americanus","American burying beetle","Ex Pop, SW Missouri","3","Experimental Population, Non-Essential","Insects"
"Leptotes cassius theonus","Cassius Blue Butterfly","Wherever found","4","Similarity of Appearance (Threatened)","Insects"
"Hemiargus ceraunus antibubastus","Ceraunus Blue Butterfly","Wherever found","4","Similarity of Appearance (Threatened)","Insects"
"Cyclargus ammon","Nickerbean Blue Butterfly","Wherever found","4","Similarity of Appearance (Threatened)","Insects"
"Bombus affinis","Rusty patched bumble bee","Wherever found","3","Endangered","Insects"
"Cicindelidia floridana","Miami tiger beetle","Wherever found","4","Endangered","Insects"
"Speyeria zerene hippolyta","Oregon silverspot butterfly","Saddle Mountain/Nestucca Bay NEP - U.S.A. (ORspecified portions of Clatsop and Tillamook Counties","1","Experimental Population, Non-Essential","Insects"
